W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,T8
1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1
1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,1
-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,1
-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,0
0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,0
4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,0
1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0
0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,0
-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,0
-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,1
4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,1
-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,1
0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,1
-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,-0.31,1
-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,-1.26,1
1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,4.56,1
-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,-2.17,1
-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,-2.03,1
4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,4.27,0
2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,1.82,0
3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,1.95,0
1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,-5.07,0
-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,-0.76,0
0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,0.92,0
3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,4.78,1
-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1.37,1
0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,0.13,1
-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,-1.08,1
-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,-1.76,1
-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,4.39,1
0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,-3.98,1
3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,0.42,1
2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,-0.17,1
-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,-1.82,1
5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1.26,0
0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,-4.7,1
1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,-0.04,1
1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,4.97,1
0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,2.11,1
-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,3.37,1
-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1.79,1
0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,-3.27,1
-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,0.13,1
1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,3.64,1
-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,-1.39,1
5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,0.01,1
4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,-4.27,1
-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,-1.67,1
0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,-2.32,1
7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0.34,0
5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,3.63,0
4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,2.31,0
-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,-3.28,0
4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,5.5,0
0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0.65,0
-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,1.7,0
2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,1.07,0
-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0.34,0
-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,-0.34,0
-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,-2.79,0
-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0.38,0
-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,-0.67,0
-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,1.17,0
3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,-2.65,0
-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,5.74,0
-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,4.29,0
0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,-2.73,0
-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0.9,0
-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,7.64,0
-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,5.03,1
3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,4.75,1
-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,-2.37,1
0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,4.87,1
-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,0,1
-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,-0.66,1
0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,2.6,1
2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,-1.54,1
-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,-4.88,1
1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,-3.94,0
0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,-3.46,1
1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,-0.71,1
-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,-5.44,1
1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,3.01,1
1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,-0.11,1
-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,-3.71,1
1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,0.68,1
-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,-1.58,1
1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,-0.85,1
-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,-4,1
2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,3.25,1
3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,-3.83,1
-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,0.98,1
-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,-1.51,1
2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,-2.83,1
6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,0.54,1
-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,2.75,1
0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,-1.64,1
0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1.41,1
0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,0.56,1
4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1.75,1
-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,-2.09,1
2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,1.13,0
-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,1.08,0
3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,-0.6,0
2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,1.94,0
-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,-2.62,0
3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,1.81,0
-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,-2.34,0
1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,2.44,0
-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,3.11,0
-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,-0.92,1
-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,-0.89,0
-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,2.73,0
-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,6.44,0
-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,-2.86,0
-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,0.54,1
2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,0,1
-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,0.1,1
2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,4.21,1
-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,-1.1,1
2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,2.62,1
-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,-1.22,1
0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,3.05,1
1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,2.97,1
0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,-3.8,1
2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,3.55,0
3.3,2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,-0.69,0
2.81,3.3,2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,1.99,0
4.14,2.81,3.3,2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,-1.77,0
-2.27,4.14,2.81,3.3,2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,-2.45,0
-3.83,-2.27,4.14,2.81,3.3,2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,-3.2,0
-0.3,-3.83,-2.27,4.14,2.81,3.3,2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,-1.92,0
2.46,-0.3,-3.83,-2.27,4.14,2.81,3.3,2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,-2.95,0
1.79,2.46,-0.3,-3.83,-2.27,4.14,2.81,3.3,2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,-0.1,0
-2.67,1.79,2.46,-0.3,-3.83,-2.27,4.14,2.81,3.3,2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,-1.41,0
0.29,-2.67,1.79,2.46,-0.3,-3.83,-2.27,4.14,2.81,3.3,2.82,0.01,1.4,0.82,-7.45,2.55,-1.75,2.08,-0.73,2.44,0
